order_id,user_id,order_date,amount,country,currency,category
0,188,2025-05-04,398.46,Australia,QAR,Clothing
1,415,2025-04-27,47.95,Reunion,USD,Electronics
2,326,2025-05-10,123.34,Armenia,CHF,Food
3,464,2025-04-21,156.57,Saint Martin,SCR,Clothing
4,160,2025-04-15,425.27,Chile,SEK,Toys
5,414,2025-05-11,188.97,Finland,AWG,Toys
6,131,2025-05-01,125.94,Liberia,GIP,Food
7,121,2025-05-10,270.43,Solomon Islands,ALL,Clothing
8,483,2025-04-14,280.5,United States Virgin Islands,NGN,Food
9,270,2025-04-27,105.7,Tokelau,PEN,Toys
10,411,2025-05-01,189.26,Kazakhstan,TTD,Clothing
11,335,2025-04-17,299.38,French Polynesia,KYD,Books
12,63,2025-05-11,293.64,Argentina,PKR,Books
13,147,2025-04-14,104.43,Turkmenistan,DKK,Electronics
14,267,2025-04-24,199.46,United States Virgin Islands,GIP,Toys
15,434,2025-04-26,47.85,Poland,SLL,Food
16,14,2025-04-14,185.81,Malta,CVE,Electronics
17,163,2025-05-01,208.75,Cote d'Ivoire,GEL,Clothing
18,418,2025-04-22,428.92,Faroe Islands,TZS,Toys
19,338,2025-04-16,381.69,Bulgaria,EGP,Food
20,273,2025-05-13,358.19,Gibraltar,HRK,Clothing
21,25,2025-05-04,411.49,Benin,NIO,Food
22,100,2025-04-20,192.94,Cyprus,INR,Food
23,368,2025-05-01,43.28,Albania,JOD,Electronics
24,6,2025-04-21,157.37,Belgium,MXN,Books
25,59,2025-05-07,254.68,Mexico,PHP,Electronics
26,66,2025-04-22,59.45,Lao People's Democratic Republic,UAH,Food
27,231,2025-05-02,455.36,Australia,TJS,Food
28,296,2025-04-25,97.88,Brunei Darussalam,IDR,Food
29,284,2025-04-22,331.35,Cambodia,NAD,Electronics
30,119,2025-05-04,236.13,Saint Kitts and Nevis,SDG,Electronics
31,67,2025-04-28,19.39,Turkey,AED,Food
32,310,2025-04-24,137.29,Ethiopia,IDR,Books
33,243,2025-05-05,75.57,Bulgaria,PYG,Toys
34,64,2025-04-19,203.05,Netherlands,LAK,Food
35,64,2025-04-15,47.53,Palau,PLN,Electronics
